event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,top_audio_class,top_audio_confidence,top_video_class,top_video_confidence,is_construction_site,construction_confidence,violations,is_compliant,severity,num_violations,fusion_audio_class,fusion_audio_confidence,fusion_visual_class,fusion_visual_confidence,fusion_score,fusion_alpha,fusion_mode
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0040,2026-06-04T12:06:40,residential,day,57.74,55.0,2.74,True,motorvehicle-horn,0.8095,person,0.8166,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9319,bus,0.6259,0.8095,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0041,2026-06-04T12:06:50,residential,day,58.49,55.0,3.49,True,motorvehicle-horn,0.7751,person,0.6069,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9225,motorcycle,0.554,0.7751,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0042,2026-06-04T12:07:00,residential,day,61.91,55.0,6.91,True,generator,0.7057,bicycle,0.6889,False,0.0,ambient_exceeded,False,minor,1,generator,0.9001,truck,0.414,0.7057,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0043,2026-06-04T12:07:10,residential,day,60.69,55.0,5.69,True,motorvehicle-horn,0.8176,person,0.7136,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.936,car,0.6402,0.8176,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0044,2026-06-04T12:07:20,residential,day,61.13,55.0,6.13,True,motorvehicle-horn,0.8522,bus,0.7035,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9513,bus,0.7035,0.8522,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0045,2026-06-04T12:07:30,residential,day,71.51,55.0,16.51,True,motorvehicle-horn,0.8399,car,0.7207,False,0.0,ambient_exceeded,False,severe,1,motorvehicle-horn,0.9194,car,0.7207,0.8399,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0046,2026-06-04T12:07:40,residential,day,68.98,55.0,13.98,True,motorvehicle-horn,0.8557,car,0.7449,False,0.0,ambient_exceeded,False,moderate,1,motorvehicle-horn,0.9295,car,0.7449,0.8557,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0047,2026-06-04T12:07:50,residential,day,64.9,55.0,9.9,True,motorvehicle-horn,0.7835,person,0.7451,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.8971,motorcycle,0.6129,0.7835,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0048,2026-06-04T12:08:00,residential,day,64.94,55.0,9.94,True,motorvehicle-horn,0.7074,motorcycle,0.7457,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.6818,motorcycle,0.7457,0.7074,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0049,2026-06-04T12:08:10,residential,day,69.26,55.0,14.26,True,motorvehicle-horn,0.8266,person,0.6965,False,0.0,ambient_exceeded,False,moderate,1,motorvehicle-horn,0.914,motorcycle,0.6954,0.8266,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0050,2026-06-04T12:08:20,residential,day,63.13,55.0,8.13,True,motorvehicle-horn,0.8171,person,0.759,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9191,car,0.6641,0.8171,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0051,2026-06-04T12:08:30,residential,day,54.88,55.0,-0.12,False,motorvehicle-horn,0.7658,person,0.7855,False,0.0,no_violation,True,compliant,0,motorvehicle-horn,0.8926,bus,0.5757,0.7658,0.6,audio_visual_late_fusion
