event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,audio_motorvehicle-horn,video_car,audio_motorvehicle-siren,audio_generator,video_person,video_truck,video_backpack,video_bus,video_motorcycle,audio_crowd-noise,video_bicycle,video_umbrella,audio_construction-site,video_train,audio_mobile-music,video_fire hydrant,video_airplane,video_suitcase,video_horse,video_bench,video_traffic light
test_clip_1_chunk_0074,2025-11-02T00:43:52.343838,residential,night,60.4,45.0,15.4,True,False,0.3333,ambient_exceeded,False,severe,0.5045,0.8132,,,0.5756,0.5855,,,0.6695,,,,,,,,,,,,
test_clip_1_chunk_0074,2025-11-02T00:43:52.343838,residential,night,60.4,45.0,15.4,True,False,0.3333,ambient_exceeded,False,severe,0.5045,0.8132,,,0.5756,0.5855,,,0.6695,,,,,,,,,,,,
test_clip_1_chunk_0075,2025-11-02T00:43:02.343838,residential,night,57.51,45.0,12.51,True,False,0.6667,ambient_exceeded,False,moderate,0.5338,0.7949,,,0.6153,0.7125,,,0.7658,,,,,,,,,,,,
test_clip_1_chunk_0075,2025-11-02T00:43:02.343838,residential,night,57.51,45.0,12.51,True,False,0.6667,ambient_exceeded,False,moderate,0.5338,0.7949,,,0.6153,0.7125,,,0.7658,,,,,,,,,,,,
test_clip_1_chunk_0076,2025-11-02T00:43:12.343838,residential,night,60.04,45.0,15.04,True,False,0.0,ambient_exceeded,False,severe,0.3835,,,,0.4879,0.8319,,,0.7968,,,,,,,,,,,,
test_clip_1_chunk_0076,2025-11-02T00:43:12.343838,residential,night,60.04,45.0,15.04,True,False,0.0,ambient_exceeded,False,severe,0.3835,,,,0.4879,0.8319,,,0.7968,,,,,,,,,,,,
test_clip_1_chunk_0077,2025-11-02T00:43:22.343838,residential,night,59.04,45.0,14.04,True,False,0.6667,ambient_exceeded,False,moderate,,0.6575,,,0.6036,0.5265,,,0.7046,0.4782,,,,,,,,,,,
test_clip_1_chunk_0077,2025-11-02T00:43:22.343838,residential,night,59.04,45.0,14.04,True,False,0.6667,ambient_exceeded,False,moderate,,0.6575,,,0.6036,0.5265,,,0.7046,0.4782,,,,,,,,,,,
test_clip_1_chunk_0078,2025-11-02T00:44:32.343838,residential,night,68.45,45.0,23.45,True,False,0.0,ambient_exceeded,False,severe,,,,,0.7628,0.4493,,,0.7173,0.5615,,0.5262,,,,,,,,,
test_clip_1_chunk_0078,2025-11-02T00:44:32.343838,residential,night,68.45,45.0,23.45,True,False,0.0,ambient_exceeded,False,severe,,,,,0.7628,0.4493,,,0.7173,0.5615,,0.5262,,,,,,,,,
test_clip_1_chunk_0079,2025-11-02T00:44:42.343838,residential,night,63.55,45.0,18.55,True,False,0.0,ambient_exceeded,False,severe,,0.7249,,,0.7804,0.5348,,,0.6941,0.7683,0.4595,,,,,,,,,,
test_clip_1_chunk_0079,2025-11-02T00:44:42.343838,residential,night,63.55,45.0,18.55,True,False,0.0,ambient_exceeded,False,severe,,0.7249,,,0.7804,0.5348,,,0.6941,0.7683,0.4595,,,,,,,,,,
test_clip_1_chunk_0080,2025-11-02T00:44:52.343838,residential,night,62.75,45.0,17.75,True,False,0.3,ambient_exceeded,False,severe,,0.8505,,,0.7571,0.554,,,0.5777,0.5364,0.5938,,,,,,,,,,
test_clip_1_chunk_0080,2025-11-02T00:44:52.343838,residential,night,62.75,45.0,17.75,True,False,0.3,ambient_exceeded,False,severe,,0.8505,,,0.7571,0.554,,,0.5777,0.5364,0.5938,,,,,,,,,,
