event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,fusion_audio_class,fusion_audio_confidence,fusion_visual_class,fusion_visual_confidence,fusion_score,fusion_alpha,fusion_mode,audio_motorvehicle-horn,video_car,video_person,video_truck,video_motorcycle,video_bus,video_bicycle,video_umbrella,video_skateboard,video_airplane,audio_generator,video_train
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0010,2026-06-04T12:01:40,residential,day,61.3,55.0,6.3,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9533,motorcycle,0.6945,0.8498,0.6,audio_visual_late_fusion,0.8498,,0.7737,0.5308,0.6945,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0011,2026-06-04T12:01:50,residential,day,71.23,55.0,16.23,True,False,0.0,ambient_exceeded,False,severe,motorvehicle-horn,0.6203,car,0.7686,0.6796,0.6,audio_visual_late_fusion,0.6796,0.7686,0.5487,0.7157,0.6492,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0012,2026-06-04T12:02:00,residential,day,65.47,55.0,10.47,True,False,0.0,ambient_exceeded,False,moderate,motorvehicle-horn,0.8369,truck,0.8485,0.8415,0.6,audio_visual_late_fusion,0.8415,0.7492,0.6617,0.8485,0.5697,0.5868,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0013,2026-06-04T12:02:10,residential,day,70.09,55.0,15.09,True,False,0.0,ambient_exceeded,False,severe,motorvehicle-horn,0.9617,truck,0.7498,0.8769,0.6,audio_visual_late_fusion,0.8769,0.743,0.6177,0.7498,0.7233,0.4306,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0014,2026-06-04T12:02:20,residential,day,60.5,55.0,5.5,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9593,car,0.8416,0.9122,0.6,audio_visual_late_fusion,0.9122,0.8416,0.6358,0.693,0.6339,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0015,2026-06-04T12:02:30,residential,day,57.56,55.0,2.56,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9458,truck,0.7954,0.8856,0.6,audio_visual_late_fusion,0.8856,0.7532,0.6686,0.7954,0.7611,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0016,2026-06-04T12:02:40,residential,day,60.2,55.0,5.2,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9637,motorcycle,0.8554,0.9204,0.6,audio_visual_late_fusion,0.9204,,0.5029,0.7784,0.8554,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0017,2026-06-04T12:02:50,residential,day,59.17,55.0,4.17,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9293,motorcycle,0.7775,0.8686,0.6,audio_visual_late_fusion,0.8686,0.6133,0.61,0.6947,0.7775,,,0.4025,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0018,2026-06-04T12:03:00,residential,day,68.55,55.0,13.55,True,False,0.0,ambient_exceeded,False,moderate,motorvehicle-horn,0.9712,motorcycle,0.7007,0.863,0.6,audio_visual_late_fusion,0.863,0.5959,0.7221,0.5464,0.7007,,,0.4557,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0019,2026-06-04T12:03:10,residential,day,63.66,55.0,8.66,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9529,car,0.8199,0.8997,0.6,audio_visual_late_fusion,0.8997,0.8199,0.6887,0.5425,0.7914,,0.5917,,,,,
