event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,top_audio_class,top_audio_confidence,top_video_class,top_video_confidence,is_construction_site,construction_confidence,violations,is_compliant,severity,num_violations
test_clip_1_chunk_0079,2025-11-02T01:45:59.916515,residential,night,63.55,45.0,18.55,True,crowd-noise,0.7683,person,0.7804,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0080,2025-11-02T01:45:09.916515,residential,night,62.75,45.0,17.75,True,crowd-noise,0.5364,car,0.8505,False,0.3,ambient_exceeded,False,severe,1
test_clip_1_chunk_0081,2025-11-02T01:45:19.916515,residential,night,68.4,45.0,23.4,True,crowd-noise,0.398,person,0.7691,False,0.4,ambient_exceeded,False,severe,1
test_clip_1_chunk_0082,2025-11-02T01:45:29.916515,residential,night,62.4,45.0,17.4,True,motorvehicle-horn,0.4835,car,0.8345,False,0.4444,ambient_exceeded,False,severe,1
test_clip_1_chunk_0083,2025-11-02T01:45:39.916515,residential,night,63.36,45.0,18.36,True,crowd-noise,0.5025,car,0.8801,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0084,2025-11-02T01:46:49.916515,residential,night,65.17,45.0,20.17,True,crowd-noise,0.4695,car,0.8535,False,0.3333,ambient_exceeded,False,severe,1
test_clip_1_chunk_0085,2025-11-02T01:46:59.916515,residential,night,59.79,45.0,14.79,True,crowd-noise,0.6966,car,0.8675,False,0.375,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0086,2025-11-02T01:46:09.916515,residential,night,55.09,45.0,10.09,True,crowd-noise,0.4438,person,0.7809,False,0.25,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0087,2025-11-02T01:46:19.916515,residential,night,54.37,45.0,9.37,True,crowd-noise,0.4749,car,0.8641,False,0.25,ambient_exceeded,False,minor,1
test_clip_1_chunk_0088,2025-11-02T01:46:29.916515,residential,night,53.43,45.0,8.43,True,motorvehicle-horn,0.4361,car,0.836,False,0.25,ambient_exceeded,False,minor,1
test_clip_1_chunk_0089,2025-11-02T01:46:39.916515,residential,night,54.85,45.0,9.85,True,motorvehicle-horn,0.4956,car,0.7039,False,0.2857,ambient_exceeded,False,minor,1
test_clip_1_chunk_0090,2025-11-02T01:47:49.916515,residential,night,69.57,45.0,24.57,True,construction-site,0.3973,person,0.7903,False,0.1429,ambient_exceeded,False,severe,1
test_clip_1_chunk_0091,2025-11-02T01:47:59.916515,residential,night,58.35,45.0,13.35,True,crowd-noise,0.4439,person,0.7427,False,0.2857,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0092,2025-11-02T01:47:09.916515,residential,night,62.07,45.0,17.07,True,crowd-noise,0.5701,car,0.79,True,0.7143,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0093,2025-11-02T01:47:19.916515,residential,night,60.02,45.0,15.02,True,motorvehicle-horn,0.7673,car,0.778,False,0.5,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0094,2025-11-02T01:47:29.916515,residential,night,60.87,45.0,15.87,True,crowd-noise,0.6732,car,0.7994,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0095,2025-11-02T01:47:39.916515,residential,night,61.94,45.0,16.94,True,generator,0.2879,motorcycle,0.7884,False,0.3333,ambient_exceeded,False,severe,1
test_clip_1_chunk_0096,2025-11-02T01:48:49.916515,residential,night,60.41,45.0,15.41,True,motorvehicle-horn,0.3064,person,0.7293,False,0.3333,ambient_exceeded,False,severe,1
test_clip_1_chunk_0097,2025-11-02T01:48:59.916515,residential,night,64.03,45.0,19.03,True,crowd-noise,0.6835,car,0.8902,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0098,2025-11-02T01:48:09.916515,residential,night,64.17,45.0,19.17,True,crowd-noise,0.4806,car,0.9081,False,0.3,ambient_exceeded,False,severe,1
test_clip_1_chunk_0099,2025-11-02T01:48:19.916515,residential,night,61.91,45.0,16.91,True,crowd-noise,0.4445,person,0.6704,False,0.3,ambient_exceeded,False,severe,1
test_clip_1_chunk_0100,2025-11-02T01:48:29.916515,residential,night,57.64,45.0,12.64,True,crowd-noise,0.5547,person,0.7531,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0101,2025-11-02T01:48:39.916515,residential,night,58.38,45.0,13.38,True,motorvehicle-horn,0.5441,person,0.6732,False,0.2222,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0102,2025-11-02T01:49:49.916515,residential,night,61.78,45.0,16.78,True,mobile-music,0.4448,bicycle,0.6573,True,0.8889,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0103,2025-11-02T01:49:59.916515,residential,night,60.59,45.0,15.59,True,motorvehicle-horn,0.5562,person,0.6535,False,0.5556,ambient_exceeded,False,severe,1
test_clip_1_chunk_0104,2025-11-02T01:49:09.916515,residential,night,61.03,45.0,16.03,True,crowd-noise,0.688,person,0.6778,False,0.5556,ambient_exceeded,False,severe,1
test_clip_1_chunk_0105,2025-11-02T01:49:19.916515,residential,night,71.41,45.0,26.41,True,crowd-noise,0.4743,car,0.7047,False,0.375,ambient_exceeded,False,severe,1
test_clip_1_chunk_0106,2025-11-02T01:49:29.916515,residential,night,68.86,45.0,23.86,True,motorvehicle-horn,0.6993,car,0.7127,False,0.125,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0107,2025-11-02T01:49:39.916515,residential,night,64.8,45.0,19.8,True,motorvehicle-horn,0.7356,person,0.7977,False,0.375,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0108,2025-11-02T01:50:49.916515,residential,night,64.84,45.0,19.84,True,motorvehicle-horn,0.6209,person,0.7743,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0109,2025-11-02T01:50:59.916515,residential,night,69.19,45.0,24.19,True,motorvehicle-horn,0.7004,motorcycle,0.7205,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0110,2025-11-02T01:50:09.916515,residential,night,63.0,45.0,18.0,True,motorvehicle-horn,0.5609,person,0.679,False,0.2857,ambient_exceeded,False,severe,1
test_clip_1_chunk_0111,2025-11-02T01:50:19.916515,residential,night,67.69,45.0,22.69,True,generator,0.6854,airplane,0.7123,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0112,2025-11-02T01:50:29.916515,residential,night,69.42,45.0,24.42,True,generator,0.4989,airplane,0.6715,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0113,2025-11-02T01:50:39.916515,residential,night,68.76,45.0,23.76,True,generator,0.8257,airplane,0.6101,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0114,2025-11-02T01:51:49.916515,residential,night,67.28,45.0,22.28,True,generator,0.9289,airplane,0.627,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0115,2025-11-02T01:51:59.916515,residential,night,73.34,45.0,28.34,True,construction-site,0.675,none,0.0,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0116,2025-11-02T01:51:09.916515,residential,night,69.61,45.0,24.61,True,construction-site,0.4,truck,0.5382,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0117,2025-11-02T01:51:19.916515,residential,night,67.39,45.0,22.39,True,construction-site,0.4225,truck,0.5405,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
